Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,bl_impact,residuals
Gerbillus cosensis,100,26,32,25.1,32.1,17.8,2.27,Desert,Terrestrial,22.989254446489568,3.010745553510432
Gerbillus dasyurus,91,25,24,23.3,38.6,5.7,26.8,Desert,Terrestrial,21.288224023868707,3.7117759761312925
Gerbillus dunni,98,30,39,26.7,35.3,17.9,7.93,Shrubland,Terrestrial,22.611247685907156,7.388752314092844
Gerbillus floweri,117,35,54,20,33.9,3.8,29.89,Desert,Terrestrial,26.202311911440084,8.797688088559916
Gerbillus harwoodi,75,20,14,20.2,27.4,12.2,-3.01,Savanna,Terrestrial,18.264169939209403,1.7358300607905974
Gerbillus lowei,104,26,36,21.1,31.5,8.2,13,Rocky Areas,Terrestrial,23.745267967654396,2.254732032345604
Gerbillus maghrebi,112,27,43,16.9,30.4,3.5,33.66,Grassland,Terrestrial,25.25729500998405,1.7427049900159517
Gerbillus nancillus,65,18,9,28.1,39.9,14.5,15.15,Grassland,Terrestrial,16.374136136297334,1.6258638637026657
Gerbillus nigeriae,93,27,26,26.1,37.2,13.9,19.16,Desert,Terrestrial,21.66623078445112,5.33376921554888
Gerbillus percivali,75,20,14,22.6,30,14.8,-3.35,Savanna,Terrestrial,18.264169939209403,1.7358300607905974
Gerbillus perpallidus,107,33,36,20.6,33.5,5.7,30.38,Desert,Terrestrial,24.312278108528016,8.687721891471984
Gerbillus pusillus,66,20,15,25,32.8,16.9,4.13,Savanna,Terrestrial,16.563139516588542,3.436860483411458
Gerbillus rosalinda,97,25,28,27.4,38.5,15.3,12.3,Grassland,Terrestrial,22.422244305615948,2.5777556943840523
Gerbillus rupicola,101,26,36,28.2,40.2,15,15.41,Grassland,Terrestrial,23.178257826780776,2.8217421732192243
Gerbillus simoni,81,21,17,18.1,32.9,2.2,33.82,Desert,Terrestrial,19.398190220956643,1.6018097790433572
Grammomys aridulus,114,23,43,23.3,34.6,9.4,13.14,Shrubland,Arboreal,25.635301770566464,-2.635301770566464
Grammomys caniceps,97,21,28,26.6,31.9,20.3,0.4,Shrubland,Arboreal,22.422244305615948,-1.4222443056159477
Grammomys cometes,118,24,52,21.8,32.3,10.2,-24.59,Savanna,Arboreal,26.39131529173129,-2.3913152917312885
Grammomys dolichurus,112,24,35,21.6,30.2,11.7,-10.27,Savanna,Arboreal,25.25729500998405,-1.2572950099840483
Grammomys dryas,112,24,43,16.8,22.3,11.1,-1.43,Forest,Arboreal,25.25729500998405,-1.2572950099840483
Grammomys ibeanus,120,26,47,19.5,27.2,11.1,-4.67,Savanna,Arboreal,26.769322052313704,-0.7693220523137043
Grammomys kuru,114,25,53,24.3,29.8,18.1,2.37,Forest,Arboreal,25.635301770566464,-0.6353017705664641
Grammomys macmillani,105,24,34,24.9,32.4,16.3,2.82,Savanna,Arboreal,23.934271347945604,0.06572865205439626
Hadromys yunnanensis,132,26,59,19.6,29.5,8.1,24.27,Unknown,Terrestrial,29.037362615808185,-3.037362615808185
Haeromys minahassae,76,20,14,24.8,29.5,20.1,0.54,Forest,Arboreal,18.453173319500607,1.546826680499393
Hybomys badius,122,29,64,18.1,23.6,13.1,4.25,Forest,Terrestrial,27.147328812896117,1.8526711871038835
