Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,blmass_impact,residuals
Mammelomys lanosus,162,37,116,18.1,24.4,11.7,-5.31,Forest,Terrestrial,34.45683611691195,2.5431638830880487
Margaretamys beccarii,130,28,62,24.9,29.6,20.2,0.53,Forest,Arboreal,28.563179857881913,-0.5631798578819129
Margaretamys christinae,111,20,49,20,24.7,14.8,-3.49,Forest,Arboreal,25.115567340994158,-5.115567340994158
Mastomys awashensis,122,24,46,21.2,30.7,11.1,9.34,Savanna,Terrestrial,27.082979447299962,-3.0829794472999623
Mastomys coucha,100,20,31,18.9,32.2,3.6,-24.99,Savanna,Terrestrial,23.091149929763077,-3.091149929763077
Mastomys erythroleucus,138,24,56,26.3,34.9,16.4,9.51,Savanna,Terrestrial,29.983660425208814,-5.983660425208814
Mastomys huberti,136,25,55,27.8,38.1,15.9,13.91,Savanna,Terrestrial,29.621753937552654,-4.621753937552654
Mastomys kollmannspergeri,137,27,95,27.4,38.9,14.1,13.71,Savanna,Terrestrial,29.90993144540683,-2.90993144540683
Mastomys natalensis,113,23,39,24.1,32.5,14.5,-1.31,Savanna,Terrestrial,25.4476139070228,-2.4476139070227987
Mastomys shortridgei,120,25,46,22,34,6.6,-17.04,Savanna,Terrestrial,26.723787497973575,-1.723787497973575
Maxomys alticola,158,33,90,22.8,29.1,16.5,5.74,Forest,Terrestrial,33.66787422168504,-0.6678742216850395
Maxomys baeodon,132,28,63,25.4,31.2,19.5,5.1,Forest,Terrestrial,28.925086345538077,-0.9250863455380767
Maxomys bartelsii,152,34,102,19.1,24.2,14.2,-7.07,Forest,Terrestrial,32.622872833663166,1.3771271663368339
Maxomys ochraceiventer,156,32,97,25.2,31.1,19.3,2.83,Forest,Terrestrial,33.32768404066707,-1.327684040667073
Maxomys panglima,178,40,182,26.8,31.8,22.2,9.92,Forest,Terrestrial,37.50953124128818,2.4904687587118204
Melomys bougainville,141,26,86,25.6,29.7,21.2,-6.38,Forest,Terrestrial,30.60388449909164,-4.603884499091642
Melomys burtoni,113,25,45,25,33.8,14.9,-16.39,Forest,Terrestrial,25.463901137001447,-0.46390113700144653
Melomys cervinipes,134,29,74,20.1,30.2,8.7,-24.89,Forest,Terrestrial,29.314138216491983,-0.31413821649198326
Melomys leucogaster,157,32,122,26,32.1,19.3,-6.73,Forest,Terrestrial,33.575143473574634,-1.5751434735746344
Melomys matambuai,156,35,158,26.8,30.8,22.9,-2.09,Forest,Terrestrial,33.49327087878332,1.5067291212166793
Melomys paveli,124,24,55,21.7,26.3,16.5,-3.24,Forest,Terrestrial,27.466602241594323,-3.466602241594323
Meriones shawi,137,33,78,18,32.6,2.2,33.85,Desert,Terrestrial,29.863784293800663,3.136215706199337
Mesembriomys gouldii,288,69,740,25.1,33.7,15.4,-15.04,Forest,Arboreal,58.779800842253756,10.220199157746244
Mesembriomys macrurus,230,50,285,27,36,15.8,-15.38,Forest,Arboreal,47.12811937174106,2.8718806282589426
Micaelamys namaquensis,109,25,40,19.9,32.4,5.4,-23.91,Savanna,Terrestrial,24.73194454669979,0.2680554533002102
Millardia kathleenae,148,28,93,27,35.9,16,21.63,Savanna,Terrestrial,31.880058090042418,-3.880058090042418
Mus bufo,67,15,12,18.6,24.2,12.8,-1.76,Forest,Terrestrial,17.112906537611956,-2.1129065376119556
Mus callewaerti,84,17,16,21.2,29.3,11.7,-8.87,Forest,Terrestrial,20.176896260205353,-3.1768962602053534
Mus cookii,86,20,20,21.5,30.3,10.7,22.9,Forest,Terrestrial,20.54694636285084,-0.5469463628508393
Mus fragilicauda,77,15,12,25.2,32.5,15.2,17.1,Forest,Terrestrial,18.908866284243892,-3.908866284243892
Mus indutus,55,13,5,21.5,34.5,5.8,-21.02,Savanna,Terrestrial,14.938753073345202,-1.938753073345202
Mus mahomet,67,15,10,19.1,28.1,9.5,10.18,Savanna,Terrestrial,17.107477460952406,-2.1074774609524063
Mus musculus,88,19,16,12.9,28.6,-4.4,24.17,Forest,Terrestrial,20.895280158858128,-1.895280158858128
Mus pahari,90,22,22,19.4,28.8,8.3,23,Forest,Terrestrial,21.270759338163163,0.7292406618368368
Mus setulosus,72,15,14,23.8,30.3,16.5,6.19,Forest,Terrestrial,18.016315487587473,-3.016315487587473
Mus setzeri,54,14,7,22.2,34.7,6.4,-19.04,Savanna,Terrestrial,14.764586175341556,-0.7645861753415559
Mus shortridgei,108,21,35,22.7,30.4,13.1,19.12,Forest,Terrestrial,24.538775880387725,-3.5387758803877247
Mus spretus,140,16,14,15.3,29.2,1,37.07,Shrubland,Terrestrial,30.228841764684677,-14.228841764684677
Mus terricolor,68,15,8,25.8,37.9,12.1,22.06,Forest,Terrestrial,17.28164435895605,-2.2816443589560507
Mus vulcani,93,22,20,12.6,17.6,7.7,-7.12,Forest,Terrestrial,21.804118185493195,0.19588181450680509
