Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,mass_impact,residuals
Dendromus melanotis,69,18,7,20.7,31.6,8,-16.18,Savanna,Terrestrial,25.40388044047549,-7.40388044047549
Dendromus messorius,60,17,8,23.3,29.5,16.5,3.42,Grassland,Terrestrial,25.441198357091587,-8.441198357091587
Dendromus nyikae,67,17,10,21.2,31.2,9.3,-13.02,Savanna,Terrestrial,25.51583419032378,-8.51583419032378
Dendromus oreas,69,19,11,21.6,26.8,16.4,4.42,Grassland,Terrestrial,25.553152106939876,-6.553152106939876
Dendromus ruppi,74,20,11,21.2,27.8,14.3,4.02,Forest,Terrestrial,25.553152106939876,-5.553152106939876
Deomys ferrugineus,137,38,76,23.8,29.2,17.9,0.48,Forest,Terrestrial,27.97881668698614,10.02118331301386
Dephomys defua,126,26,47,25.9,32.1,18.7,6.75,Forest,Arboreal,26.896597105119344,-0.8965971051193442
Desmodillus auricularis,109,25,46,19.6,33.1,4.1,-25.16,Desert,Terrestrial,26.859279188503248,-1.8592791885032476
Desmomys harringtoni,136,28,65,19,27.6,9.6,9.45,Savanna,Scansorial,27.56831960420908,0.4316803957909201
Desmomys yaldeni,124,28,47,18.7,26.4,10.3,7.51,Forest,Scansorial,26.896597105119344,1.1034028948806558
Dinomys branickii,760,NA,12500,23,28.9,16.6,-5.7,Forest,Terrestrial,491.61661272536696,NA
Echiothrix leucura,213,51,274,24.4,29,19.9,1.08,Forest,Terrestrial,35.36776417697321,15.63223582302679
Gerbilliscus boehmi,162,41,146,20.9,29.8,10.5,-9.52,Savanna,Terrestrial,30.59107085011288,10.408929149887118
Gerbilliscus gambiana,157,31,94,27.6,37.8,16.2,13.58,Savanna,Terrestrial,28.65053918607587,2.3494608139241286
Gerbilliscus guineae,141,33,73,26.8,34.9,17.3,10.78,Savanna,Terrestrial,27.86686293713785,5.133137062862151
Gerbilliscus inclusus,156,41,116,23.6,32,14,-14.23,Savanna,Terrestrial,29.471533351629994,11.528466648370006
Gerbilliscus kempi,158,33,101,25.7,33.2,17,7.26,Savanna,Terrestrial,28.911764602388548,4.088235397611452
Gerbilliscus robustus,152,35,103,25.5,34.5,15.5,7.63,Savanna,Terrestrial,28.986400435620737,6.013599564379263
Gerbilliscus validus,167,34,129,23.2,31.9,13.2,-4.73,Savanna,Terrestrial,29.956666267639243,4.043333732360757
Gerbillurus paeba,96,27,25,20.1,33.2,4.8,-24.5,Savanna,Terrestrial,26.075602939565226,0.9243970604347744
Gerbillurus setzeri,106,32,37,20.2,29.8,9.6,-20.07,Desert,Terrestrial,26.52341793895838,5.4765820610416185
Gerbillurus tytonis,99,33,25,18.7,29.5,6.4,-24.97,Desert,Terrestrial,26.075602939565226,6.924397060434774
Gerbillurus vallinus,94,30,36,19.1,33.4,2.9,-27.62,Desert,Terrestrial,26.486100022342285,3.513899977657715
Gerbillus amoenus,80,23,13,22.7,37.4,5.6,25.67,Desert,Terrestrial,25.62778794017207,-2.6277879401720696
Gerbillus bottai,86,20,23,28.6,40.1,16.1,13.98,Artificial Terrestrial,Terrestrial,26.000967106333032,-6.000967106333032
Gerbillus campestris,103,27,29,18.9,34.1,2.8,31.2,Desert,Terrestrial,26.224874606029612,0.7751253939703879
Gerbillus cosensis,100,26,32,25.1,32.1,17.8,2.27,Desert,Terrestrial,26.3368283558779,-0.3368283558778984
Gerbillus dasyurus,91,25,24,23.3,38.6,5.7,26.8,Desert,Terrestrial,26.03828502294913,-1.038285022949129
Gerbillus dunni,98,30,39,26.7,35.3,17.9,7.93,Shrubland,Terrestrial,26.598053772190575,3.4019462278094252
Gerbillus floweri,117,35,54,20,33.9,3.8,29.89,Desert,Terrestrial,27.15782252143202,7.842177478567979
Gerbillus harwoodi,75,20,14,20.2,27.4,12.2,-3.01,Savanna,Terrestrial,25.665105856788166,-5.665105856788166
Gerbillus lowei,104,26,36,21.1,31.5,8.2,13,Rocky Areas,Terrestrial,26.486100022342285,-0.4861000223422849
Gerbillus maghrebi,112,27,43,16.9,30.4,3.5,33.66,Grassland,Terrestrial,26.74732543865496,0.25267456134503874
Gerbillus nancillus,65,18,9,28.1,39.9,14.5,15.15,Grassland,Terrestrial,25.478516273707683,-7.478516273707683
Gerbillus nigeriae,93,27,26,26.1,37.2,13.9,19.16,Desert,Terrestrial,26.112920856181322,0.8870791438186778
Gerbillus percivali,75,20,14,22.6,30,14.8,-3.35,Savanna,Terrestrial,25.665105856788166,-5.665105856788166
Gerbillus perpallidus,107,33,36,20.6,33.5,5.7,30.38,Desert,Terrestrial,26.486100022342285,6.513899977657715
Gerbillus pusillus,66,20,15,25,32.8,16.9,4.13,Savanna,Terrestrial,25.702423773404263,-5.702423773404263
Gerbillus rosalinda,97,25,28,27.4,38.5,15.3,12.3,Grassland,Terrestrial,26.187556689413515,-1.1875566894135154
Gerbillus rupicola,101,26,36,28.2,40.2,15,15.41,Grassland,Terrestrial,26.486100022342285,-0.4861000223422849
Gerbillus simoni,81,21,17,18.1,32.9,2.2,33.82,Desert,Terrestrial,25.777059606636456,-4.777059606636456
Grammomys aridulus,114,23,43,23.3,34.6,9.4,13.14,Shrubland,Arboreal,26.74732543865496,-3.7473254386549613
Grammomys caniceps,97,21,28,26.6,31.9,20.3,0.4,Shrubland,Arboreal,26.187556689413515,-5.1875566894135154
Grammomys cometes,118,24,52,21.8,32.3,10.2,-24.59,Savanna,Arboreal,27.083186688199827,-3.0831866881998273
Grammomys dolichurus,112,24,35,21.6,30.2,11.7,-10.27,Savanna,Arboreal,26.44878210572619,-2.4487821057261883
Grammomys dryas,112,24,43,16.8,22.3,11.1,-1.43,Forest,Arboreal,26.74732543865496,-2.7473254386549613
Grammomys ibeanus,120,26,47,19.5,27.2,11.1,-4.67,Savanna,Arboreal,26.896597105119344,-0.8965971051193442
Grammomys kuru,114,25,53,24.3,29.8,18.1,2.37,Forest,Arboreal,27.120504604815924,-2.120504604815924
Grammomys macmillani,105,24,34,24.9,32.4,16.3,2.82,Savanna,Arboreal,26.41146418911009,-2.4114641891100916
Hadromys yunnanensis,132,26,59,19.6,29.5,8.1,24.27,Unknown,Terrestrial,27.3444121045125,-1.3444121045125002
Haeromys minahassae,76,20,14,24.8,29.5,20.1,0.54,Forest,Arboreal,25.665105856788166,-5.665105856788166
Hybomys badius,122,29,64,18.1,23.6,13.1,4.25,Forest,Terrestrial,27.531001687592983,1.4689983124070167
Hybomys basilii,137,31,86,19.7,24.9,15.1,3.48,Forest,Terrestrial,28.351995853147102,2.648004146852898
Hybomys planifrons,124,31,51,25.5,32.7,17.5,7.54,Forest,Terrestrial,27.04586877158373,3.9541312284162693
Hybomys trivirgatus,124,32,56,25.8,32,18.6,6.51,Forest,Terrestrial,27.23245835466421,4.76754164533579
Hybomys univittatus,114,29,51,24.1,29.7,18.1,0.14,Forest,Terrestrial,27.04586877158373,1.9541312284162693
Hydromys chrysogaster,272,58,632,21.9,32.7,9.6,-21.7,Forest,Semi aquatic,48.7275783255357,9.272421674464297
Hylomyscus aeta,94,21,25,24,29.8,17.7,0.8,Forest,Arboreal,26.075602939565226,-5.075602939565226
Hylomyscus alleni,90,19,18,25,30.8,18.4,3.25,Forest,Arboreal,25.814377523252553,-6.814377523252553
Hylomyscus anselli,101,21,28,20,29.7,8.5,-11.09,Forest,Arboreal,26.187556689413515,-5.1875566894135154
Hylomyscus arcimontensis,90,20,19,21.7,29.3,13.4,-7.05,Forest,Arboreal,25.851695439868646,-5.851695439868646
Hylomyscus denniae,102,21,32,20.7,26.4,15,0.57,Forest,Arboreal,26.3368283558779,-5.336828355877898
Hylomyscus endorobae,102,22,28,15.1,21.6,8,0.53,Forest,Arboreal,26.187556689413515,-4.1875566894135154
Hylomyscus grandis,97,20,33,18.2,23.9,11.1,6.21,Forest,Arboreal,26.374146272493995,-6.374146272493995
Hylomyscus kerbispeterhansi,92,20,24,19.3,26.1,11.9,0.52,Forest,Arboreal,26.03828502294913,-6.038285022949129
Hylomyscus parvus,67,15,13,24,29.7,17.8,3.11,Forest,Arboreal,25.62778794017207,-10.62778794017207
Hylomyscus stella,85,17,20,22,27.6,16.3,0.24,Forest,Arboreal,25.889013356484742,-8.889013356484742
Hylomyscus vulcanorum,95,20,22,17.4,23,11.5,-2.11,Forest,Arboreal,25.963649189716936,-5.963649189716936
Leggadina forresti,87,14,19,22.9,37.3,6.5,-24.61,Grassland,Terrestrial,25.851695439868646,-11.851695439868646
Leggadina lakedownensis,72,15,20,26.1,37.8,12.5,-18.02,Savanna,Terrestrial,25.889013356484742,-10.889013356484742
Leimacomys buettneri,118,23,30,25,31.8,16.8,8.26,Unknown,Terrestrial,26.26219252264571,-3.2621925226457087
Lemniscomys barbarus,100,24,90,17,30.5,3.4,34.33,Shrubland,Terrestrial,28.50126751961149,-4.501267519611488
Lemniscomys bellieri,109,25,36,26.7,33.6,18.7,9.21,Savanna,Terrestrial,26.486100022342285,-1.4861000223422849
Lemniscomys linulus,107,26,27,26.7,35.2,16.7,11.03,Savanna,Terrestrial,26.15023877279742,-0.15023877279741882
Lemniscomys rosalia,126,26,54,21.9,32.6,9,-17.66,Savanna,Terrestrial,27.15782252143202,-1.1578225214320206
Lemniscomys striatus,122,28,45,24.1,31,16.3,2.13,Savanna,Terrestrial,26.82196127188715,1.178038728112849
Lemniscomys zebra,104,27,38,25.9,34.5,15.9,8,Savanna,Terrestrial,26.560735855574478,0.43926414442552186
Lenomys meyeri,262,46,252,24,29,18.9,-1.67,Forest,Scansorial,34.54677001141909,11.453229988580908
Lenothrix canus,192,34,150,26,31.3,20.5,3.41,Forest,Arboreal,30.740342516577268,3.259657483422732
Leopoldamys ciliatus,235,50,362,22.9,28.4,17.6,1.31,Forest,Terrestrial,38.65174083918969,11.348259160810308
Leopoldamys milleti,252,NA,425,20.3,26.9,13.3,12.15,Forest,Terrestrial,41.00276958600376,NA
Leopoldamys neilli,218,42,220,26.2,33.6,17.1,16.43,Forest,Terrestrial,33.35259667970401,8.647403320295993
Leporillus conditor,172,45,408,18.5,31.3,4,-32.61,Shrubland,Terrestrial,40.36836500353012,4.631634996469877
Leptomys elegans,157,36,79,23.7,29.9,17,-8.25,Forest,Terrestrial,28.090770436834426,7.9092295631655745
Leptomys ernstmayri,139,38,59,22,28.3,15.2,-6.03,Forest,Terrestrial,27.3444121045125,10.6555878954875
Leptomys paulus,125,34,42,19.7,25.4,13.5,-9.68,Forest,NA,26.710007522038865,7.289992477961135
Leptomys signatus,148,40,80,24.8,31.6,17.4,-7.26,Forest,Terrestrial,28.128088353450522,11.871911646549478
Limnomys bryophilus,130,33,64,20.5,27.2,13.4,8.02,Forest,Scansorial,27.531001687592983,5.468998312407017
Limnomys sibuanus,127,30,64,22.5,29,15.7,7.68,Forest,Scansorial,27.531001687592983,2.4689983124070167
Lophuromys brevicaudus,114,21,43,12.5,20.4,3.7,7.21,Shrubland,Terrestrial,26.74732543865496,-5.747325438654961
Lophuromys chercherensis,128,23,61,17.7,27.1,7.9,9.32,Forest,Terrestrial,27.419047937744693,-4.419047937744693
Lophuromys chrysopus,114,21,43,20,27.7,11.6,6.48,Forest,Terrestrial,26.74732543865496,-5.747325438654961
Lophuromys cinereus,122,24,52,14.7,19.2,9.9,-2.26,Forest,Terrestrial,27.083186688199827,-3.0831866881998273
Lophuromys dieterleni,123,22,61,18,23.7,11,6.21,Forest,Terrestrial,27.419047937744693,-5.419047937744693
Lophuromys luteogaster,102,21,34,23.1,28.5,17.5,0.27,Forest,Terrestrial,26.41146418911009,-5.411464189110092
Lophuromys machangui,123,21,52,21.1,29.5,11.7,-11.6,Savanna,Terrestrial,27.083186688199827,-6.083186688199827
Lophuromys makundii,125,22,49,16,23.1,7.5,-4.44,Forest,Terrestrial,26.971232938351537,-4.9712329383515375
Lophuromys medicaudatus,103,21,35,15.6,20.7,10.3,-1.84,Forest,Terrestrial,26.44878210572619,-5.448782105726188
Lophuromys melanonyx,146,23,95,12,19.9,3.3,7.26,Shrubland,Terrestrial,28.687857102691968,-5.687857102691968
Lophuromys menageshae,134,22,74,15.6,23.9,7,9.6,Forest,Terrestrial,27.904180853753946,-5.904180853753946
Lophuromys pseudosikapusi,134,24,60,22.1,29.1,14.6,7.01,Forest,Terrestrial,27.381730021128597,-3.3817300211285968
Lophuromys rahmi,102,16,32,16.4,21.7,11,-2.01,Forest,Terrestrial,26.3368283558779,-10.336828355877898
Lophuromys roseveari,128,22,64,20.5,26,15.4,4.25,Forest,Terrestrial,27.531001687592983,-5.531001687592983
Lophuromys sabunii,128,22,52,20.8,28.5,11.8,-7.81,Forest,Terrestrial,27.083186688199827,-5.083186688199827
Lophuromys simensis,133,23,57,18,27.5,7.6,12.24,Shrubland,NA,27.269776271280307,-4.269776271280307
Lophuromys stanleyi,118,23,46,10,14.6,5.3,0.38,Forest,Terrestrial,26.859279188503248,-3.8592791885032476
Lophuromys woosnami,121,26,47,18.4,23.9,12.7,-2.05,Forest,Terrestrial,26.896597105119344,-0.8965971051193442
Macruromys major,241,53,350,18.8,25.2,12.1,-6.34,Forest,Terrestrial,38.20392583979653,14.796074160203467
Malacomys cansdalei,144,43,82,25.9,31.7,19.1,6,Forest,Terrestrial,28.202724186682715,14.797275813317285
Malacomys edwardsi,133,33,59,26,32.2,18.9,6.72,Forest,Terrestrial,27.3444121045125,5.6555878954875
Malacomys longipes,138,35,68,24.1,29.7,18.1,1.06,Forest,Terrestrial,27.680273354057366,7.319726645942634
Mallomys aroaensis,364,67,1238,19,25.5,12.1,-6.65,Forest,Arboreal,71.34223579489007,-4.3422357948900725
Mallomys gunung,422,NA,2000,7.3,14.7,0.1,-4.1,Forest,Arboreal,99.77848825635549,NA
Mallomys istapantap,398,NA,1888,16.8,23.5,9.9,-6.14,Forest,Arboreal,95.5988815953527,NA
Mallomys rothschildi,380,65,1158,18.4,24.8,11.8,-5.36,Forest,Arboreal,68.35680246560237,-3.356802465602371
Mammelomys lanosus,162,37,116,18.1,24.4,11.7,-5.31,Forest,Terrestrial,29.471533351629994,7.5284666483700065
Margaretamys beccarii,130,28,62,24.9,29.6,20.2,0.53,Forest,Arboreal,27.45636585436079,0.54363414563921
Margaretamys christinae,111,20,49,20,24.7,14.8,-3.49,Forest,Arboreal,26.971232938351537,-6.9712329383515375
Mastomys awashensis,122,24,46,21.2,30.7,11.1,9.34,Savanna,Terrestrial,26.859279188503248,-2.8592791885032476
Mastomys coucha,100,20,31,18.9,32.2,3.6,-24.99,Savanna,Terrestrial,26.2995104392618,-6.299510439261802
Mastomys erythroleucus,138,24,56,26.3,34.9,16.4,9.51,Savanna,Terrestrial,27.23245835466421,-3.2324583546642103
Mastomys huberti,136,25,55,27.8,38.1,15.9,13.91,Savanna,Terrestrial,27.195140438048114,-2.1951404380481137
Mastomys kollmannspergeri,137,27,95,27.4,38.9,14.1,13.71,Savanna,Terrestrial,28.687857102691968,-1.687857102691968
Mastomys natalensis,113,23,39,24.1,32.5,14.5,-1.31,Savanna,Terrestrial,26.598053772190575,-3.5980537721905748
Mastomys shortridgei,120,25,46,22,34,6.6,-17.04,Savanna,Terrestrial,26.859279188503248,-1.8592791885032476
Maxomys alticola,158,33,90,22.8,29.1,16.5,5.74,Forest,Terrestrial,28.50126751961149,4.498732480388512
Maxomys baeodon,132,28,63,25.4,31.2,19.5,5.1,Forest,Terrestrial,27.493683770976887,0.5063162290231134
Maxomys bartelsii,152,34,102,19.1,24.2,14.2,-7.07,Forest,Terrestrial,28.949082519004644,5.050917480995356
Maxomys ochraceiventer,156,32,97,25.2,31.1,19.3,2.83,Forest,Terrestrial,28.76249293592416,3.2375070640758388
Maxomys panglima,178,40,182,26.8,31.8,22.2,9.92,Forest,Terrestrial,31.93451584829235,8.06548415170765
Melomys bougainville,141,26,86,25.6,29.7,21.2,-6.38,Forest,Terrestrial,28.351995853147102,-2.351995853147102
Melomys burtoni,113,25,45,25,33.8,14.9,-16.39,Forest,Terrestrial,26.82196127188715,-1.821961271887151
Melomys cervinipes,134,29,74,20.1,30.2,8.7,-24.89,Forest,Terrestrial,27.904180853753946,1.095819146246054
Melomys leucogaster,157,32,122,26,32.1,19.3,-6.73,Forest,Terrestrial,29.69544085132657,2.3045591486734303
Melomys matambuai,156,35,158,26.8,30.8,22.9,-2.09,Forest,Terrestrial,31.038885849506038,3.9611141504939624
Melomys paveli,124,24,55,21.7,26.3,16.5,-3.24,Forest,Terrestrial,27.195140438048114,-3.1951404380481137
Meriones shawi,137,33,78,18,32.6,2.2,33.85,Desert,Terrestrial,28.053452520218332,4.9465474797816675
