Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Hybomys planifrons,124,31,51,25.5,32.7,17.5,7.54,Forest,Terrestrial
Hybomys trivirgatus,124,32,56,25.8,32,18.6,6.51,Forest,Terrestrial
Hybomys univittatus,114,29,51,24.1,29.7,18.1,0.14,Forest,Terrestrial
Hydromys chrysogaster,272,58,632,21.9,32.7,9.6,-21.7,Forest,Semi aquatic
Hylomyscus aeta,94,21,25,24,29.8,17.7,0.8,Forest,Arboreal
Hylomyscus alleni,90,19,18,25,30.8,18.4,3.25,Forest,Arboreal
Hylomyscus anselli,101,21,28,20,29.7,8.5,-11.09,Forest,Arboreal
Hylomyscus arcimontensis,90,20,19,21.7,29.3,13.4,-7.05,Forest,Arboreal
Hylomyscus denniae,102,21,32,20.7,26.4,15,0.57,Forest,Arboreal
Hylomyscus endorobae,102,22,28,15.1,21.6,8,0.53,Forest,Arboreal
Hylomyscus grandis,97,20,33,18.2,23.9,11.1,6.21,Forest,Arboreal
Hylomyscus kerbispeterhansi,92,20,24,19.3,26.1,11.9,0.52,Forest,Arboreal
Hylomyscus parvus,67,15,13,24,29.7,17.8,3.11,Forest,Arboreal
Hylomyscus stella,85,17,20,22,27.6,16.3,0.24,Forest,Arboreal
Hylomyscus vulcanorum,95,20,22,17.4,23,11.5,-2.11,Forest,Arboreal
Leggadina forresti,87,14,19,22.9,37.3,6.5,-24.61,Grassland,Terrestrial
Leggadina lakedownensis,72,15,20,26.1,37.8,12.5,-18.02,Savanna,Terrestrial
Leimacomys buettneri,118,23,30,25,31.8,16.8,8.26,Unknown,Terrestrial
Lemniscomys barbarus,100,24,90,17,30.5,3.4,34.33,Shrubland,Terrestrial
Lemniscomys bellieri,109,25,36,26.7,33.6,18.7,9.21,Savanna,Terrestrial
Lemniscomys linulus,107,26,27,26.7,35.2,16.7,11.03,Savanna,Terrestrial
Lemniscomys rosalia,126,26,54,21.9,32.6,9,-17.66,Savanna,Terrestrial
Lemniscomys striatus,122,28,45,24.1,31,16.3,2.13,Savanna,Terrestrial
Lemniscomys zebra,104,27,38,25.9,34.5,15.9,8,Savanna,Terrestrial
Lenomys meyeri,262,46,252,24,29,18.9,-1.67,Forest,Scansorial
Lenothrix canus,192,34,150,26,31.3,20.5,3.41,Forest,Arboreal
Leopoldamys ciliatus,235,50,362,22.9,28.4,17.6,1.31,Forest,Terrestrial
Leopoldamys milleti,252,,425,20.3,26.9,13.3,12.15,Forest,Terrestrial
Leopoldamys neilli,218,42,220,26.2,33.6,17.1,16.43,Forest,Terrestrial
Leporillus conditor,172,45,408,18.5,31.3,4,-32.61,Shrubland,Terrestrial
Leptomys elegans,157,36,79,23.7,29.9,17,-8.25,Forest,Terrestrial
Leptomys ernstmayri,139,38,59,22,28.3,15.2,-6.03,Forest,Terrestrial
Leptomys paulus,125,34,42,19.7,25.4,13.5,-9.68,Forest,
Leptomys signatus,148,40,80,24.8,31.6,17.4,-7.26,Forest,Terrestrial
Limnomys bryophilus,130,33,64,20.5,27.2,13.4,8.02,Forest,Scansorial
Limnomys sibuanus,127,30,64,22.5,29,15.7,7.68,Forest,Scansorial
Lophuromys brevicaudus,114,21,43,12.5,20.4,3.7,7.21,Shrubland,Terrestrial
Lophuromys chercherensis,128,23,61,17.7,27.1,7.9,9.32,Forest,Terrestrial
Lophuromys chrysopus,114,21,43,20,27.7,11.6,6.48,Forest,Terrestrial
Lophuromys cinereus,122,24,52,14.7,19.2,9.9,-2.26,Forest,Terrestrial
Lophuromys dieterleni,123,22,61,18,23.7,11,6.21,Forest,Terrestrial
Lophuromys luteogaster,102,21,34,23.1,28.5,17.5,0.27,Forest,Terrestrial
Lophuromys machangui,123,21,52,21.1,29.5,11.7,-11.6,Savanna,Terrestrial
Lophuromys makundii,125,22,49,16,23.1,7.5,-4.44,Forest,Terrestrial
